Descripción*;Grupo terapéutico
No sabe/No contesta;
AAS 100;B01AC
AAS 500 ;N02BA
AB FE CAMPS ;N02BA
ABACTRIM ;J01EE
ABACTRIM BALSAMICO ;J01RA
ABBOKINASE ;B01AD
ABBOPLEGISOL ;B05XA
ABBOTTSELSUN ;D11AC
ABDOMINOL ;A03DB
ABDOSCAN ;V08CB
ABELCET ;J02AA
ABESIRA;A13AA
ABILIFY ;N05AX
ABLAVAR ;V08CA
ABRASONE;D07CC
ABRASONE RECTAL ;C05AA
ABRAXANE ;L01CD
ABRION ;M05BA
ABSORCOL ;C10AX
ABSORLENT MATRIX ;G03CA
ABSORLENT PLUS ;G03FB
ABSTRAL ;N02AB
AC CRISINA ;A11GB
ACABEL ;M01AC
ACABEL RAPID ;M01AC
ACALKA ;G04BC
ACANDIX ;J02AC
ACARBOSA ;A10BF
ACCIONAL ;A01AA
ACCOLATE ;R03DC
ACCUSOL ;B05ZB
ACECAT ;N02BE
ACECLOFENACO ;M01AB
ACEDIUR ;C09BA
ACEITE ACALORICO ORDESA ;V06AA
ACEITE DE AJO ORDESA ;V07AB
ACEITE DE RICINO ;A06AB
ACEITE GEVE ;A11CB
ACEITE HIGADO BACALAO ;A11JC
ACENAM ;M01AX
ACEOTO GOTAS OTICAS ;S02AA
ACEOTO PLUS GOTAS OTICAS ;S02CA
ACERBIOL ;D02AF
ACERTOL;N02BE
ACETATO CIPROTERONA ETINILESTRADIOL ;G03HB
ACETATO CLORHEXIDINA ;D08AC
ACETATO DE CALCIO ;V03AE
ACETATO POTASICO ;B05XA
ACETATO SODICO ;B05XA
ACETENSIL ;C09AA
ACETENSIL PLUS;C09BA
ACETILCISTEINA ;R05CB
ACETILCOLINA ;S01EB
ACETUBER ;R06AA
ACFOL ;B03BB
ACICLOSTAD ;J05AB
ACICLOSTAD TOPICO ;D06BB
ACICLOVIR ;J05AB
ACICLOVIR OFTALMICO;S01AD
ACICLOVIR TOPICO ;D06BB
ACIDAC ;A02AF
ACIDION ;A02AF
ACIDO ACETILSALICILICO 100 MG ;B01AC
ACIDO ACETILSALICILICO 500 MG ;N02BA
ACIDO ALENDRONICO ;M05BA
ACIDO ASCORBICO ;A11GA
ACIDO FOLICO ;B03BB
ACIDO IBANDRONICO ;M05BA
ACIDO LEVOFOLINICO ;V03AF
ACIDO NALIDIXICO ;J01MB
ACIDO VALPROICO ;N03AG
ACIDO ZOLEDRONICO ;M05BA
ACIDONA;A09AC
ACIDRINA;A02AF
ACIFUGAN;M04AA
ACIPHEX ;A02BC
ACITRETINA IFC ;D05BB
ACLASTA ;M05BA
ACLOCEN ;M01AB
ACNEMIN ;D10BA
ACNISDIN ;D10AB
ACNISDIN RETINOICO ;D10AD
ACNOSAN ;D10AX
ACOMICIL ;N03AX
ACOMPLIA ;A08AX
ACOVIL ;C09AA
ACOXXEL ;M01AH
ACREL ;M05BA
ACREL SEMANAL ;M05BA
ACT HIB ;J07AG
ACTH LEO;H01AA
ACTICINCO ;A13AA
ACTIFRAL D3 ;A11CC
ACTILEVOL OREX;A15AA
ACTILYSE ;B01AD
ACTIMAG ;A12CC
ACTIMIDOL;M01AE
ACTIMOXI ;J01CA
ACTIQ ;N02AB
ACTIRA ;J01MA
ACTISITE ;A01AB
ACTITHIOL ;R05CB
ACTITHIOL ANTIHISTAMINICO ;R05CB
ACTIVADONE ;C05CX
ACTIVADONE OFTALMICO ;S01XA
ACTIVELLE;G03FA
ACTOCORTINA;H02AB
ACTOL NIFLUMICO ;M01AX
ACTONEL;M05BA
ACTONEL SEMANAL ;M05BA
ACTOS ;A10BG
ACTRAPID ;A10AB
ACTRAPID INNOLET ;A10AB
ACTRAPID NOVOLET ;A10AB
ACTRAPID PENFILL ;A10AB
ACTRON ;N02BE
ACTRON COMPUESTO ;N02BA
ACUBIRON ;G04CX
ACULAR ;S01BC
ACUOLENS ;S01XA
ACUPREL ;C09AA
ACURETIC ;C09BA
ACYDONA ;D08AG
ACYFLOX ;N02BA
ACYLINE ;A02AD
ADA ;R01AA
ADACAI ;C10AX
ADALAT ;C08CA
ADALAT BIFASICO;C08CA
ADALAT OROS ;C08CA
ADALAT RETARD ;C08CA
ADALGUR;M03BX
ADARTREL ;N04BC
ADCIRCA ;G04BE
ADDAMEL ;B05XA
ADELAN SEMANAL ;M05BA
ADELFAN ESIDREX;C02LA
ADENOCOR;C01EB
ADENOSCAN ;C01EB
ADENURIC;M04AA
ADEOL HEMORROIDAL ;C05AD
ADIAVAL PLUS ;C09DA
ADIOD;A11JC
ADIRO ;B01AC
ADMON ;C08CA
ADOFEN ;N06AB
ADOFEN SEMANAL ;N06AB
ADOLONTA ;N02AX
ADOLONTA RETARD ;N02AX
ADOLQUIR ;M01AE
ADREJECT ;C01CA
ADRENALINA ;C01CA
ADRENOR ;S01EA
ADROVANCE ;M05BB
ADULAX CASEN FLEET ;A06AG
ADUMBRAN;N05BA
ADVAGRAF ;L04AD
ADVATE ;B02BD
ADVENTAN;D07AC
ADVIL ;M01AE
AERIUS ;R06AX
AERO PLUS ;A03FA
AERO RED ;A03AX
AERO RED ANTIACIDO ;A02AF
AERO RED COMPLEX;A16AX
AERODERM ;D04AB
AERODIOL ;G03CA
AEROFLAT ;A03FA
AERONIX ;R03DC
AEROSOMA ;R03AK
AEROSPRAY ANTIALERGICO ;D04AA
AEROSPRAY ANTIQUEMADURAS ;D04AX
AEROSPRAY ANTISEPTICO ;D08AG
AERRANE ;N01AB
AFATINAL ;B01AB
AFEBRIN ;N02BB
AFINITOR ;L01XE
AFIPADO ;N02BG
AFLOMIN ;S01AD
AFLOYAN ;N06AX
AFLUDOL ;L04AA
AFLUON ;S01GX
AFLUON NASAL ;R01AC
AFONGAN ;D01AC
AFTAJUVENTUS ;A01AC
AFTASONE B C ;A01AC
AFTASONE INF ;A01AC
AFTER BITE ;D04AX
AFTER BITE TOALLITAS ;D09AA
AGAROL ALOINA ;A06AB
AGAROL PARAFINA;A06AX
AGASTRINA ;A02BA
AGENERASE ;J05AE
AGEROPLAS ;B01AC
AGERPEN ;J01CA
AGERPEN MUCOLITICO ;R05CZ
AGILEX ;M04AA
AGILONA ;M02AA
AGIOLAX ;A06AC
AGRASTAT;B01AC
AGREAL ;G03XX
AGRELAN ;B01AC
AGUA BIDESTILADA ;V07AB
AGUA DEL CARMEN ;V03AX
AGUA ESTERIL PARA INYECTABLE ;V07AB
AGUA OXIGENADA ;D08AX
AGUA PARA INYECCION ;V07AB
AGUDIL ;N06BX
AHECAN ;D08AX
AILYN ;G03AA
AIRE MEDICINAL COMP GAS LINDE ;V03AN
AIROMIR AUTOHALER ;R03AC
AIRTAL ;M01AB
AIRTAL DIFUCREM ;M02AA
AKINDOL ;N02BE
AKINETON;N04AA
ALACAPSIN ;N01BX
ALADOR ;N02BE
ALAFEN ;M01AB
ALANTOMICINA;D06CA
ALANTOMICINA COMPLEX ;D07CA
ALAPANZOL ;A02BC
ALAPRYL;N05BA
ALASTINA ;R06AX
ALBEGO ;N05BA
ALBETAL ;S01ED
ALBINTIL ;A11BA
ALBIOMIN;B05AA
ALBUMINA HUMANA ;B05AA
ALBUNORM ;B05AA
ALBUREX 5;B05AA
ALBUTEIN;B05AA
ALCALINOS VITA ;A02AD
ALCANGAMA ANTITETANICA ;J06BB
ALCIS ;G03CA
ALCIS SEMANAL ;G03CA
ALCOHCAN ;D08AJ
ALCOHOCEL ;D08AJ
ALCOHOL 70 ;D08AX
ALCOHOL 96 ;D08AX
ALCOHOL ALCANFORADO;M02AX
ALCOHOL BENZALCONIO ;D08AJ
ALCOHOL IODADO ;D08AX
ALCOHOL POTENCIADO ;D08AJ
ALCOHOL REFORZADO ;D08AX
ALCOHOL ROMERO ;M02AX
ALCOHTEN ;D08AX
ALCOMON REFORZADO;D08AX
ALCOPAC REFORZADO ;D08AJ
ALCORTEN ;D07AB
ALCOSIN ;C10AA
ALCOVIR REFORZADO;D08AX
ALDACTACINE ;C03EA
ALDACTONE ;C03DA
ALDARA ;D06BB
ALDIRA ;R06AX
ALDO ASMA ;R03AK
ALDO OTICO ;S02CA
ALDOACNE ;D10AE
ALDOBRONQUIAL ;R03CC
ALDOCUMAR ;B01AA
ALDODERMA ;D07CC
ALDOFUNGIN ;D01AC
ALDOLEO ;C03EA
ALDOMET ;C02AB
ALDOMET FORTE ;C02AB
ALDOSOMNIL ;N05CD
ALDOSPRAY ANALGESICO ;M02AA
ALDURAZYME ;A16AB
ALENDROCARE SEMANAL ;M05BA
ALENDROFARM ;M05BA
ALENDROGYN ;M05BA
ALENE ;G03GB
ALERCINA ;R06AE
ALERCINA PLUS ;R01BA
ALERFRIN ;S01GA
ALERGICAL;H02BX
ALERGICAL CREMA ;D07AC
ALERGICAL EXPECT JARABE ;R05X
ALERGIST ;R06AX
ALERGLOBULINA;J06BA
ALERGOCROM ;R03BC
ALERGOFTAL ;S01GA
ALERGOGAMMA;J06BA
ALERGOLIBER ;R06AX
ALERGORATIO ;R06AX
ALERLISIN ;R06AE
ALERMIZOL;R06AX
ALERRID ;R06AE
ALETOR COMPOSITUM ;R05DB
ALEUDRINA ;C01CA
ALEVE ;M01AE
ALFADINA ;S01EA
ALFAPROST ;G04CA
ALFETIM ;G04CA
ALFITAR ;D05AA
ALFUZOSINA ;G04CA
ALGESAL;M02AC
ALGESAL ACTIVADO ;M02AC
ALGI MABO ;N02BB
ALGIASDIN;M01AE
ALGIDOL ;N02BE
ALGIDRIN;M01AE
ALGIKEY ;M01AB
ALGIPATCH ;M02AA
ALGODERM ;M02AC
ALI VEG ;A02BA
ALIBRON ;J01FA
ALIGEST ;A02AF
ALIGEST PLUS ;A02AF
ALIMTA ;L01BA
ALIPZA ;C10AA
ALIVIODOL ;M01AC
ALIVIOMAS ;M01AE
ALIVIOSIN ;M01AB
ALKA SELTZER ;A02AH
ALLI ;A08AB
ALLYNAT ;M09AX
ALMAX ;A02AD
ALMITIL ;J01MA
ALMOGRAN ;N02CC
ALOCARE ;D11AX
ALOFEDINA ;A06AB
ALOGESIA ;M01AE
ALOMIDE ;S01GX
ALONGAMICINA;J01CA
ALONGAMICINA BALSA ;R05CZ
ALOPEXY ;D11AX
ALOPRESIN ;C09AA
ALOPRESIN DIU ;C09BA
ALOPURINOL ;M04AA
ALOXI ;A04AA
ALOXIDIL ;D11AX
ALOXIPRIN ;M01AB
ALPHAGAN ;S01EA
ALPHOSYL CHAMPU ;D11AC
ALPHOSYL CREMA ;D05AA
ALPRAZOLAM ;N05BA
ALPROFEN ;M01AE
ALPROSTADIL ;C01EA
ALQUEN ;A02BA
ALTARGO ;D06AX
ALTELLUS ;C01CA
ALTEPORINA ;J01DB
ALTESONA ;H02AB
ALTEZYM ;J01FA
ALTIOR ;M01AE
ALTISBEN ;N06AB
ALTORAL ;R06AE
ALUBIFAR ;A02AD
ALUCOL SILICONA;A02AF
ALUFILM ;A02AD
ALUGEL ;A02AB
ALUGEL MAGNESIADO ;A02AD
ALUGELIBYS ;A02AB
ALUN DIFTER ADSOR ;J07AF
ALUPENT INHAL;R03CB
ALUTOXOIDE D T P ;J07AM
ALUZIME ;A05BA
ALVADERMO FUERTE ;D07AC
ALVESCO ;R03BA
ALVOGIL ;D08AG
ALYMA ;A02AD
AMANTADINA LEVEL ;J05AC
AMARYL ;A10BB
AMBAXINO ;J01CA
AMBISOME ;J02AA
AMBRAMICINA;J01AA
AMBREDIN;R03DB
AMBRITAN ;B03BA
AMBROLITIC ;R05CB
AMBROXOL ;R05CB
AMCHAFIBRIN ;B02AA
AMENUR ;L02BG
AMERIDE ;C03EA
AMICACINA ;J01GB
AMICROBIN;J01MA
AMIDOYINA ;R01AB
AMIDRIN ;R01AA
AMIDRIN BIO PULVERIZADOR;R01AB
AMIGEN ;B05XA
AMIGERMOL ;D06AX
AMIGNUL;N02CC
AMIKACINA ;J01GB
AMILANDE ;N05AL
AMINOACIDOS PFRIMMER STD ;B05BA
AMINOFUSIN HEPAR ;B05BA
AMINOMIX III ;B05BA
AMINOPAED ;B05BA
AMINOPLASMAL B ;B05BA
AMINOSTERIL ;B05BA
AMINOVEINTE ;A11JC
AMINOVEN ;B05BA
AMIODARONA ;C01BD
AMIOPIA ;S01XA
AMISULPRIDA ;N05AL
AMITRON ;J01CA
AMLODEQ ;C08CA
AMLODIPINO ;C08CA
AMLOMYLAN ;C08CA
AMLOTABS ;C08CA
AMMONAPS ;A16AX
AMNIOLINA;D02AB
AMO RESAN ;R05CZ
AMOCLAVE ;J01CR
AMOCLAVE PLUS ;J01CR
AMOFLAMISAN ;J01CA
AMOROLFINA ;D01AE
AMOTEIN ;J01XD
AMOX ;J01CA
AMOXAREN ;J01CA
AMOXI GOBENS ;J01CA
AMOXI GOBENS MUCOLITICO ;R05CZ
AMOXIBACTER ;J01CA
AMOXIBRON ;R07AX
AMOXICILINA ;J01CA
AMOXICILINA/CLAVULANICO ;J01CR
AMOXICUM ;J01CA
