11;Oficiales de las fuerzas armadas
12;Suboficiales de las fuerzas armadas
20;Tropa y marineria de las fuerzas armadas
1111;Miembros del poder ejecutivo (nacional autonomico y local) y del poder legislativo
1112;Personal directivo de la Administracion Publica
1113;Directores de organizaciones de interes social
1120;Directores generales y presidentes ejecutivos
1211;Directores financieros
1212;Directores de recursos humanos
1219;Directores de politicas y planificacion y de otros departamentos administrativos no clasificados bajo otros epigrafes
1221;Directores comerciales y de ventas
1222;Directores de publicidad y relaciones publicas
1223;Directores de investigacion y desarrollo
1311;Directores de produccion de explotaciones agropecuarias y forestales
1312;Directores de produccion de explotaciones pesqueras y acuicolas
1313;Directores de industrias manufactureras
1314;Directores de explotaciones mineras
1315;Directores de empresas de abastecimiento transporte distribucion y afines
1316;Directores de empresas de construccion
1321;Directores de servicios de tecnologias de la informacion y las comunicaciones (TIC)
1322;Directores de servicios sociales para niños
1323;Directores-gerentes de centros sanitarios
1324;Directores de servicios sociales para personas mayores
1325;Directores de otros servicios sociales
1326;Directores de servicios de educacion
1327;Directores de sucursales de bancos de servicios financieros y de seguros
1329;Directores de otras empresas de servicios profesionales no clasificados bajo otros epigrafes
1411;Directores y gerentes de hoteles
1419;Directores y gerentes de otras empresas de servicios de alojamiento
1421;Directores y gerentes de restaurantes
1422;Directores y gerentes de bares cafeterias y similares
1429;Directores y gerentes de empresas de catering y otras empresas de restauracion
1431;Directores y gerentes de empresas de comercio al por mayor
1432;Directores y gerentes de empresas de comercio al por menor
1501;Directores y gerentes de empresas de actividades recreativas culturales y deportivas
1509;Directores y gerentes de empresas de gestion de residuos y de otras empresas de servicios no clasificados bajo otros epigrafes
2111;Medicos de familia
2112;Otros medicos especialistas
2121;Enfermeros no especializados
2122;Enfermeros especializados (excepto matronos)
2123;Matronos
2130;Veterinarios
2140;Farmaceuticos
2151;Odontologos y estomatologos
2152;Fisioterapeutas
2153;Dietistas y nutricionistas
2154;Logopedas
2155;opticos-optometristas
2156;Terapeutas ocupacionales
2157;Podologos
2158;Profesionales de la salud y la higiene laboral y ambiental
2159;Profesionales de la salud no clasificados bajo otros epigrafes
2210;Profesores de universidades y otra enseñanza superior (excepto formacion profesional)
2220;Profesores de formacion profesional (materias especificas)
2230;Profesores de enseñanza secundaria (excepto materias especificas de formacion profesional)
2240;Profesores de enseñanza primaria
2251;Maestros de educacion infantil
2252;Tecnicos en educacion infantil
2311;Profesores de educacion especial
2312;Tecnicos educadores de educacion especial
2321;Especialistas en metodos didacticos y pedagogicos
2322;Profesores de enseñanza no reglada de idiomas
2323;Profesores de enseñanza no reglada de musica y danza
2324;Profesores de enseñanza no reglada de artes
2325;Instructores en tecnologias de la informacion en enseñanza no reglada
2326;Profesionales de la educacion ambiental
2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epigrafes
2411;Fisicos y astronomos
2412;Meteorologos
2413;Quimicos
2414;Geologos y geofisicos
2415;Matematicos y actuarios
2416;Estadisticos
2421;Biologos botanicos zoologos y afines
2422;Ingenieros agronomos
2423;Ingenieros de montes
2424;Ingenieros tecnicos agricolas
2425;Ingenieros tecnicos forestales y del medio natural
2426;Profesionales de la proteccion ambiental
2427;Enologos
2431;Ingenieros industriales y de produccion
2432;Ingenieros en construccion y obra civil
2433;Ingenieros mecanicos
2434;Ingenieros aeronauticos
2435;Ingenieros quimicos
2436;Ingenieros de minas metalurgicos y afines
2437;Ingenieros ambientales
2439;Ingenieros no clasificados bajo otros epigrafes
2441;Ingenieros en electricidad
